FT,expcost,expcost_given_failure,bes,time(s),gates,CS,TESTIFSAME
bes10_ft3_or0.302_maxc_3.6521516779409433.dft,116.0623574771206,704.9798395244494,9,6.115199939813465e-05,8,2,True
bes10_ft10_or0.177_maxc_8.124972182018777.dft,89.61566579766615,835.1706796128531,10,0.00013420400093309582,5,2,True
bes10_ft1_or0.836_maxc_7.839370489795258.dft,126.42313393512313,570.7484995688693,10,7.905600010417402e-05,5,8,True
bes10_ft2_or0.591_maxc_8.406802818608071.dft,340.2245650785779,99.02604661747554,10,6.326799892121926e-05,3,6,True
bes10_ft5_or0.773_maxc_7.512802194500503.dft,319.6907649332942,632.894180509878,10,9.308399952715263e-05,6,16,True
bes10_ft4_or0.436_maxc_2.9985783791245444.dft,355.9489224843396,261.9272837145302,9,6.179600022733211e-05,9,6,True
bes10_ft8_or0.751_maxc_5.115331640489931.dft,446.9578807901727,217.41290323752636,10,6.703199964249507e-05,6,10,True
bes10_ft7_or0.266_maxc_4.59645868276439.dft,204.13535813464705,781.3064259641244,10,6.580399960512295e-05,6,5,True
bes10_ft6_or0.25_maxc_3.99801651599833.dft,41.02800098710191,347.723667919887,10,6.810799997765571e-05,7,8,True
bes11_ft10_or0.918_maxc_2.803696244842519.dft,386.9121946089731,142.62521503274525,10,8.77120005316101e-05,10,12,True
bes10_ft9_or0.853_maxc_2.8542911535319613.dft,411.5269211107041,383.9043398422662,9,0.0001369719993090257,9,14,True
bes11_ft1_or0.565_maxc_2.716610012180298.dft,196.24868366626163,713.2437204626315,11,0.0003213480004342273,10,16,True
bes11_ft2_or0.904_maxc_9.070665469968109.dft,960.5735865890374,436.1401719347733,11,9.787200076971203e-05,6,11,True
bes11_ft5_or0.018_maxc_3.063244419767053.dft,42.005583630411195,804.9999999999999,11,7.228800124721602e-05,8,1,True
bes11_ft3_or0.501_maxc_2.929631021384247.dft,232.21818886636856,543.0075560186178,10,0.00023189599916804583,10,15,True
bes11_ft4_or0.788_maxc_3.110546154044875.dft,739.6645415761309,416.51282034265785,11,0.00010246399964671583,8,11,True
bes11_ft6_or0.904_maxc_8.828983299302784.dft,1584.9647620429716,764.953715459622,10,8.6435999837704e-05,5,10,True
bes11_ft7_or0.708_maxc_5.875433975376451.dft,680.1738973249386,455.11783257829245,11,0.0002624079998349771,7,30,True
bes11_ft8_or0.864_maxc_9.960355648462855.dft,919.2250590470533,360.7095679514279,11,6.951199989998713e-05,6,10,True
bes11_ft9_or0.78_maxc_2.702035383192335.dft,458.49463688587815,150.59000788596856,11,7.686799945076928e-05,10,8,True
bes12_ft10_or0.392_maxc_6.562740647901928.dft,671.2828879946089,213.62368061325154,12,0.00011144799995236099,7,6,True
bes12_ft2_or0.893_maxc_8.090282654322126.dft,1682.4106942742899,550.4818326245729,12,0.00011020399921108037,6,13,True
bes12_ft1_or0.494_maxc_3.990826164906882.dft,10.454778666351373,861.4524259411538,11,8.931999938795343e-05,9,8,True
bes12_ft3_or0.791_maxc_8.696865293948767.dft,1163.8997682135396,538.7121618842857,12,9.146399970632047e-05,5,11,True
