FT,expcost,expcost_given_failure,bes,time(s),gates,CS,TESTIFSAME
bes10_ft3_or0.302_maxc_3.6521516779409433.dft,25.76278377137901,704.9798395244491,9,0.00015687600040109828,8,2,True
bes10_ft10_or0.177_maxc_8.124972182018777.dft,1.0119163965837787,835.170679612853,10,0.00011483599955681711,5,2,True
bes10_ft1_or0.836_maxc_7.839370489795258.dft,18.054118571305477,555.4174926564394,10,0.00012032400001771748,5,8,True
bes10_ft2_or0.591_maxc_8.406802818608071.dft,339.4406762510268,84.9170137748531,10,0.0001021880010375753,3,6,True
bes10_ft5_or0.773_maxc_7.512802194500503.dft,126.9102362673796,602.4290288040945,10,0.0003032039999379776,6,16,True
bes10_ft4_or0.436_maxc_2.9985783791245444.dft,353.4791398736841,158.23615654497445,9,9.449999983189628e-05,9,6,True
bes10_ft8_or0.751_maxc_5.115331640489931.dft,443.99791367895034,158.0305097856317,10,8.698000077856704e-05,6,10,True
bes10_ft7_or0.266_maxc_4.59645868276439.dft,131.2530512280103,760.4035942318887,10,9.464800095884129e-05,6,5,True
bes10_ft6_or0.25_maxc_3.99801651599833.dft,21.172145764630343,286.5411845258645,10,0.00012805199978174642,7,8,True
bes11_ft10_or0.918_maxc_2.803696244842519.dft,386.93106919465106,141.96367145908346,10,0.00015686799975810572,10,12,True
bes10_ft9_or0.853_maxc_2.8542911535319613.dft,168.91761312249074,293.0050609170828,9,0.0001213119996828027,9,14,True
bes11_ft1_or0.565_maxc_2.716610012180298.dft,38.27401442047064,629.4142278969329,11,0.00034691200009547175,10,16,True
bes11_ft2_or0.904_maxc_9.070665469968109.dft,950.9706775827431,255.3955648067194,11,0.00012155600095866248,6,11,True
bes11_ft5_or0.018_maxc_3.063244419767053.dft,1.1684062723414632,804.9999999999999,11,0.00010024799907114357,8,1,True
bes11_ft3_or0.501_maxc_2.929631021384247.dft,225.15770102050487,475.91591222724213,10,0.000368495998554863,10,15,True
bes11_ft4_or0.788_maxc_3.110546154044875.dft,733.6397910971012,283.53337222835694,11,0.00010538000031374396,8,11,True
bes11_ft6_or0.904_maxc_8.828983299302784.dft,1582.8146185895066,720.8592065339698,10,0.00010129599919309839,5,10,True
bes11_ft7_or0.708_maxc_5.875433975376451.dft,200.66402630859207,414.12574477230874,11,0.00036834399914368986,7,30,True
bes11_ft8_or0.864_maxc_9.960355648462855.dft,877.1895522746883,335.32263238394694,11,0.00010401600069599226,6,10,True
bes11_ft9_or0.78_maxc_2.702035383192335.dft,433.11860546672574,120.42723072694675,11,0.0001343959997757338,10,8,True
bes12_ft10_or0.392_maxc_6.562740647901928.dft,548.3125746740097,213.62368059821702,12,0.00019748799910303207,7,6,True
bes12_ft2_or0.893_maxc_8.090282654322126.dft,1372.9156301443231,296.57692097341834,12,0.00013653600064571946,6,13,True
bes12_ft1_or0.494_maxc_3.990826164906882.dft,10.454778666636509,606.4177773487551,11,0.0001746319991070777,9,8,True
bes12_ft3_or0.791_maxc_8.696865293948767.dft,1156.56617866259,333.29941716822555,12,0.00012788000021828337,5,11,True
