FT,expcost,expcost_given_failure,bes,time(s),gates,CS,TESTIFSAME
be2_ft1_orp0.37_mc6.dft,101.914211,94.98432284530688,2,9.571999544277788e-06,1,2,True
be2_ft2_orp0.46_mc6.dft,4.260952,181.0,2,8.983999141491949e-06,1,1,True
be3_ft2_orp0.23_mc7.dft,91.612043570552,137.82645903101877,3,2.9544000572059304e-05,2,2,True
be4_ft2_orp0.43_mc7.dft,5.552430013957945,386.00000000000006,4,2.8648000152315946e-05,2,1,True
be3_ft1_orp0.21_mc9.dft,412.09924969899754,82.03174567871558,3,3.221999912057072e-05,2,2,True
be4_ft1_orp0.97_mc3.dft,482.58238589702233,284.31285933093494,4,3.646800003480166e-05,2,4,True
be5_ft2_orp0.20_mc9.dft,38.08071455028181,456.00000000000006,5,4.223600059049204e-05,4,1,True
be5_ft1_orp0.33_mc9.dft,2.0581448733754435,181.99999999999994,5,4.385999927762896e-05,2,1,True
be6_ft2_orp0.62_mc7.dft,44.00066981384812,303.99999999999994,6,4.1015999449882657e-05,2,1,True
be7_ft1_orp0.53_mc7.dft,625.6504331480783,389.66679023581275,7,5.879199947230518e-05,4,7,True
be7_ft2_orp0.14_mc5.dft,162.0301872706246,802.9999999999998,6,6.825200020102784e-05,3,1,True
be6_ft1_orp0.76_mc3.dft,680.2774617610864,292.50727482080396,6,6.400400015991182e-05,4,6,True
be8_ft1_orp0.94_mc9.dft,802.6720809671945,492.5180693191737,8,7.730799959972501e-05,5,8,True
be8_ft2_orp0.90_mc5.dft,985.1150447453349,503.8918945699691,8,9.289199981139973e-05,3,8,True
be9_ft2_orp0.17_mc2.dft,63.00039529318469,518.0000000000001,9,0.0001329319999786094,8,1,True
be9_ft1_orp0.98_mc4.dft,391.2415533357032,253.95427738446088,9,0.00011375600064639002,4,7,True
