FT,expcost,expcost_given_failure,bes,time(s),gates,CS,TESTIFSAME
be2_ft1_orp0.37_mc6.dft,101.59377599999999,68.77969860368971,2,1.2027999910060316e-05,1,2,True
be2_ft2_orp0.46_mc6.dft,4.260952,181.0,2,1.0851999977603555e-05,1,1,True
be3_ft2_orp0.23_mc7.dft,110.51425057055201,137.82645903101877,3,3.6455999943427745e-05,2,2,True
be4_ft2_orp0.43_mc7.dft,5.021376657549172,386.00000000000006,4,2.611200005048886e-05,2,1,True
be3_ft1_orp0.21_mc9.dft,3.52201236688,82.03174567871558,3,3.088000026764348e-05,2,2,True
be4_ft1_orp0.97_mc3.dft,482.34406146530495,264.52945026907076,4,3.583600017009303e-05,2,4,True
be5_ft2_orp0.20_mc9.dft,38.04184055742301,456.00000000000006,5,6.97959994431585e-05,4,1,True
be5_ft1_orp0.33_mc9.dft,2.0034937145714435,181.99999999999997,5,3.478800033917651e-05,2,1,True
be6_ft2_orp0.62_mc7.dft,18.123387484356847,304.0000000000001,6,4.397200042149052e-05,2,1,True
be7_ft1_orp0.53_mc7.dft,618.2033089372453,194.25379249029208,7,6.356800004141405e-05,4,7,True
be7_ft2_orp0.14_mc5.dft,11.060535552663392,802.9999999999999,6,5.5107999651227145e-05,3,1,True
be6_ft1_orp0.76_mc3.dft,678.4702205500996,230.91824847524018,6,5.474000005051494e-05,4,6,True
be8_ft1_orp0.94_mc9.dft,797.9792620062306,369.7601801052622,8,7.885199942393228e-05,5,8,True
be8_ft2_orp0.90_mc5.dft,979.1827506126474,318.2450702713572,8,7.511200034059585e-05,3,8,True
be9_ft2_orp0.17_mc2.dft,1.0049769361100285,518.0000000000002,9,0.0001639399997657165,8,1,True
be9_ft1_orp0.98_mc4.dft,386.5675242083985,141.87568216592064,9,0.0001001000014366582,4,7,True
